,RM,,PREMIS,NAMA,LOKASI,NEGERI
BERAS CAP JASMINE (SST 5%),23.90,10 KG,HYPERMARKET,AEON BIG,MID VALLEY CITY,KUALA LUMPUR
BERAS CAP JASMINE (SST 5%),24.99,10 KG,HYPERMARKET,TESCO EXTRA,TAMAN MIDAH CHERAS,KUALA LUMPUR
BERAS CAP JATI (SST5%),22.90,10 KG,HYPERMARKET,AEON BIG,MID VALLEY CITY,KUALA LUMPUR
BERAS CAP JATI (SST5%),23.99,10 KG,PASAR RAYA / SUPERMARKET,GIANT SUPERMARKET,DESA PETALING,KUALA LUMPUR
BERAS CAP JATI (SST5%),24.59,10 KG,PASAR RAYA / SUPERMARKET,AEON,WANGSA MAJU,KUALA LUMPUR
BERAS CAP RAMBUTAN (SST 5%),22.90,10 KG,PASAR RAYA / SUPERMARKET,GIANT SUPERMARKET,DESA PETALING,KUALA LUMPUR
BERAS CAP RAMBUTAN (SST 5%),22.99,10 KG,HYPERMARKET,TESCO EXTRA,TAMAN MIDAH CHERAS,KUALA LUMPUR
BERAS CAP RAMBUTAN (SST 5%),24.99,10 KG,PASAR RAYA / SUPERMARKET,CHECKERS HYPERMARKET,TMN SRI SENTOSA,KUALA LUMPUR
BETIK BIASA,2.69,1 KG,PASAR RAYA / SUPERMARKET,NSK,SETAPAK,KUALA LUMPUR
BETIK BIASA,2.99,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA ONG TAI KIM,WANGSA MAJU,KUALA LUMPUR
BETIK BIASA,3.29,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA HERO,BANDAR SRI PERMAISURI,KUALA LUMPUR
BIHUN KERING (CAP JASMINE),1.99,400 G,HYPERMARKET,TESCO EXTRA,JALAN IPOH,KUALA LUMPUR
BIHUN KERING (CAP JASMINE),2.20,400 G,PASAR RAYA / SUPERMARKET,PASARAYA HERO,BANDAR SRI PERMAISURI,KUALA LUMPUR
BIHUN KERING (CAP JASMINE),2.25,400 G,HYPERMARKET,AEON BIG,WANGSA MAJU,KUALA LUMPUR
BIHUN KERING (CAP BINTANG),2.50,400 G,PASAR RAYA / SUPERMARKET,NSK,JALAN KUCHAI LAMA,KUALA LUMPUR
BIHUN KERING (CAP BINTANG),2.55,400 G,PASAR RAYA / SUPERMARKET,PASARAYA TS MEGA,BATU 3,KUALA LUMPUR
TOMATO,1.79,1 KG,PASAR RAYA / SUPERMARKET,PASARAYA ONG TAI KIM,SENTUL,KUALA LUMPUR
UBI KENTANG (CHINA),1.59,1 KG,HYPERMARKET,TESCO EXTRA,TAMAN MIDAH CHERAS,KUALA LUMPUR
"UDANG PUTIH BESAR/BANANA PRAWN (ANTARA 51 EKOR HINGGA 60 EKOR SEKILOGRAM)
",20.99,1 KG,PASAR RAYA / SUPERMARKET,NSK,SETAPAK,KUALA LUMPUR
